id,run_type,exe_time,err
20690750,native,39351306.712,
20692250,native,35800304.92198581,
20687773,native,15459178.225806452,
20688218,native,4145414.069206843,
20688500,native,34954063.8137931,
20689437,native,36340435.25531915,
20689062,native,32879862.224358976,
20692625,native,36837491.333333336,
20690515,native,42384425.347457625,
20688968,native,41953435.32231405,
20691125,native,53046493.56842105,
20691312,native,24024026.26363636,
20691875,native,19424141.26811594,
20690468,native,44778161.309734516,
20689390,native,35703147.14482759,
20687937,native,41059655.37301587,
20691031,native,37979321.19259259,
20687796,native,61452895.4875,
20688921,native,36036160.73972603,
20690755,native,46547520.35454545,
20690843,native,52422490.25,
20688125,native,18390291.636666667,
20689343,native,55371366.21505377,
20688241,native,36806348.14685315,
20690375,native,40286417.81538462,
20687750,native,38799896.19259259,
20688265,native,49726369.40952381,
20690937,native,78129671.4,
20690807,native,56534228.94505495,
20689625,native,41197424.984375,
20688406,native,34071757.37341772,
20689250,native,61139683.906976745,
20691500,native,49327307.33018868,
20690761,native,50141826.60952381,
20690796,native,57662495.428571425,
20687790,native,29716492.42631579,
20687562,native,54158522.84210526,
20687843,native,28050032.135,
20688312,native,66394525.57692308,
20687784,native,34186953.83125,
20688875,native,59741451.44318182,
20690819,native,43225335.12,
20690562,native,26388056.134259257,
20687468,native,66641671.95,
20687819,native,42376657.06153846,
20690773,native,37002284.81456953,
20687375,native,55293653.43564356,
20688501,native,14546888.238670696,
20689063,native,25470802.215053763,
20692251,native,18196396.672727272,
20690751,native,39461410.7734375,
20690516,native,8702564.504363002,
20687938,native,26722495.98924731,
20687797,native,32718429.91780822,
20692626,native,32739227.947712418,
20691126,native,25902935.384615384,
20690756,native,27468107.633333333,
20688407,native,17066480.64768683,
20688126,native,41534428.725663714,
20687774,native,27379893.25388601,
20690469,native,27317365.886486486,
20689391,native,36998396.94736842,
20688266,native,31133230.81935484,
20689438,native,36236381.83916084,
20688969,native,41307411.62809917,
20688922,native,38736366.728,
20691876,native,45405802.11111111,
20689251,native,64141463.71232877,
20687469,native,39107633.25423729,
20687820,native,64279009.928571425,
20691032,native,40297111.585365854,
