id,run_type,exe_time
0x18a01f6c3114eb86c00737433df2f42e2b8c9d0c4adc4a6ea588a54d67097a53,native,59800.1049054444
0x18a01f6c3114eb86c00737433df2f42e2b8c9d0c4adc4a6ea588a54d67097a53,aot,59842.257718266665
0x82872a786520de2440bd29e5726fd0bac67f0da3f3c47e724157f45a4274b42b,native,58479.97511370563
0x82872a786520de2440bd29e5726fd0bac67f0da3f3c47e724157f45a4274b42b,aot,59524.913283313464
0xefab7275a6da68b043ff036d90e1babcc997e586ba3593964fbe9489b17f3b30,native,87397.8910507881
0xefab7275a6da68b043ff036d90e1babcc997e586ba3593964fbe9489b17f3b30,aot,84956.28545415975
0x456e98e8b6d4590115f8de234affec3789730bf241f068ab792fdab9d5a3f6e2,native,59749.544962717286
0x456e98e8b6d4590115f8de234affec3789730bf241f068ab792fdab9d5a3f6e2,aot,59198.77101685121
0xcd2f29d1c94b5a809173e90d9d26cb6859372491b3917df70d9942578a78d665,native,188027.8810363795
0xcd2f29d1c94b5a809173e90d9d26cb6859372491b3917df70d9942578a78d665,aot,179350.0783280768
0xa56e694bf9ac9a941a44dda90a907a927c80e73f5f0f9a1c0bf72a6c2db7ddbf,native,96160.89716371805
0xa56e694bf9ac9a941a44dda90a907a927c80e73f5f0f9a1c0bf72a6c2db7ddbf,aot,90207.5453035447
0xc41e37e3846ec9fe5a153b64b5092548c8baf75560a863bc28eeae921fe451c0,native,555066.7394176931
0xc41e37e3846ec9fe5a153b64b5092548c8baf75560a863bc28eeae921fe451c0,aot,480674.2984548377
0x6be19dc519bc11a5e186b15141cd618e5c3739c61712429579f1c3f0e5163b66,native,133587.95729649937
0x6be19dc519bc11a5e186b15141cd618e5c3739c61712429579f1c3f0e5163b66,aot,123152.4358546487
0x8760ff3d944bfc5f9199024ac1cfc84fba31c7d20dd64bbed3a5d62e4e521f5b,native,129410.75510733847
0x8760ff3d944bfc5f9199024ac1cfc84fba31c7d20dd64bbed3a5d62e4e521f5b,aot,127238.86646173084
0xd3a082445df412cae53e6ee9cdd53ef589dc969b9bee75474bcf4e3c9a24fb63,native,79601.609934021
0xd3a082445df412cae53e6ee9cdd53ef589dc969b9bee75474bcf4e3c9a24fb63,aot,74550.53341038033
0xe80af5c98af1cc361bc2593dbd6ec7c0f5887202b57eb12b81f45cc6f05ce9fd,native,131277.64303660678
0xe80af5c98af1cc361bc2593dbd6ec7c0f5887202b57eb12b81f45cc6f05ce9fd,aot,108430.79058859799
0x2d6e9b3cfe40b8de8ed68a6ed5922436a39cdb53ee08347dcf8802536fc92fd2,native,104733.15687698981
0x94c2594c16e19f06f2fe2d4e7c060018b609fa5dfbba78810463b9d4ba649ab9,native,442499.7172116737
0x94c2594c16e19f06f2fe2d4e7c060018b609fa5dfbba78810463b9d4ba649ab9,aot,372106.076031117
0x62464341733d5d0de9ba2b82861b42f2eb7d2b26fa1c54d31312d554be584fd2,native,68517.31745009658
