id,run_type,exe_time
0x0c400569a1bc00b2bd9f601c36bf3117a366f03bdad156d10a50d99c48af2cf1,native,606651.9451441027
0x0c400569a1bc00b2bd9f601c36bf3117a366f03bdad156d10a50d99c48af2cf1,aot,502917.7479135244
0x6fd0ea7889fd7c073718d27e86140bd017f81609e21077afa4ad4215582d3fad,native,597256.1248011746
0x6fd0ea7889fd7c073718d27e86140bd017f81609e21077afa4ad4215582d3fad,aot,535293.1326949385
0xa96d24b70707c4a1ed7e86b61c5f7c9be619774dca5ff56ab40be1dff8a56489,native,59624.86647177007
0xa96d24b70707c4a1ed7e86b61c5f7c9be619774dca5ff56ab40be1dff8a56489,aot,59930.916948222235
0x818d0b9c21e01c87eaf7e888cc7690146c008c26ca1dc6ef4ee2aaec52b44cbf,native,649154.75
0x818d0b9c21e01c87eaf7e888cc7690146c008c26ca1dc6ef4ee2aaec52b44cbf,aot,548705.3521546961
0xd1b06b26e6ddb9c1c5bc79f0fd7386abaf673e63c003dfaa55f3f93d747ece03,native,265231.60551834985
0xd1b06b26e6ddb9c1c5bc79f0fd7386abaf673e63c003dfaa55f3f93d747ece03,aot,206783.0379978078
0xf48fae30defdc2b53b019a1b9a72b8423ca151e07befedaffb054c44c8462042,native,676673.0071932682
0xf48fae30defdc2b53b019a1b9a72b8423ca151e07befedaffb054c44c8462042,aot,604270.0931372549
0xfc7c2903363259216e83834d45ec53a50f00f38bdeb1a4b463907d0fec4605d8,native,163616.81761347325
0xfc7c2903363259216e83834d45ec53a50f00f38bdeb1a4b463907d0fec4605d8,aot,143820.12346359
0xc0d5b9283f9d2bbd53ed7582a2173bba6ec388c7f336c21d0abfd02e143e438d,native,131823.39405504192
0xc0d5b9283f9d2bbd53ed7582a2173bba6ec388c7f336c21d0abfd02e143e438d,aot,110818.27436649306
0x2dfafabedf35c0234312529b2668edd5ab59deae282e71215252cabd7c9b54ae,native,60919.37774527727
0x2dfafabedf35c0234312529b2668edd5ab59deae282e71215252cabd7c9b54ae,aot,60939.89390145144
0x3e932ba909cdbbd55f599cf3b388c14162f8e9d46f482eb5a0f1c2c8924dd8ec,native,295758.6702047445
0x3e932ba909cdbbd55f599cf3b388c14162f8e9d46f482eb5a0f1c2c8924dd8ec,aot,238060.94462193822
0xf855dba708ca4ca35fc4f99b0a0b20fe657717bc033b28678bee60f2c0a47157,native,73896.43445529677
0xf855dba708ca4ca35fc4f99b0a0b20fe657717bc033b28678bee60f2c0a47157,aot,74000.63573285831
0xbb5f0609bd750ac67d418e6be167a7b8d9ebecb44b5ce4793d9cd83532353f0c,native,304370.74149162864
0xbb5f0609bd750ac67d418e6be167a7b8d9ebecb44b5ce4793d9cd83532353f0c,aot,249299.06784386619
0xd86bfe19132b5ac60ade30e074971cb12194ce24c4b7b67dd7ae6cf97d4525c2,native,265294.31734546204
0xfdfb744743f68b9a86921b2590d9326e17226b97b2d54482585390d0e23d5199,native,225169.37887009257
0xfdfb744743f68b9a86921b2590d9326e17226b97b2d54482585390d0e23d5199,aot,187214.87615393382
0x539331a63fc3bb58c446afa182112fbb7e315139b7da4c7a5aba3c4d2784c7ef,native,691929.926961716
0x539331a63fc3bb58c446afa182112fbb7e315139b7da4c7a5aba3c4d2784c7ef,aot,555345.2001580492
0xe66c294e7b77a15b293f798de2358c7695ba8aeb5d1f936a34f059969a44d7d3,native,390845.85832330526
0xe66c294e7b77a15b293f798de2358c7695ba8aeb5d1f936a34f059969a44d7d3,aot,346484.56192738377
