id,run_type,exe_time,err
20666562,native,59458366.541666664,
20663564,native,45862262.10958904,
20663407,native,48431312.6,
20664125,native,35409818.652542375,
20665625,native,80547439.60526316,
20665156,native,95604527.0,
20664500,native,41508538.35652174,
20663620,native,63476320.365079366,
20666421,native,50474423.01,
20663656,native,47797260.68,
20663591,native,47256175.237623766,
20663421,native,74068629.36363636,
20663626,native,73999216.39655173,
20663563,native,41971198.55932204,
20666375,native,43303333.10743801,
20666468,native,51353805.631578945,
20663562,native,27133868.765,
20663468,native,68676821.87692308,
20664359,native,30012934.333333332,
20664875,native,115221072.57575758,
20663567,native,48645047.66037736,
20663609,native,97060258.8125,
20663623,native,37015758.09150327,
20663750,native,55140798.729166664,
20663579,native,51279899.80612245,
20663573,native,42264760.06870229,
20663398,native,66083820.406976745,
20663597,native,54960996.7,
20663585,native,35600440.78651685,
20663611,native,62762668.838709675,
20663576,native,46445529.08695652,
20663614,native,90574964.46551724,
20663375,native,47865838.414814815,
20663403,native,54896889.416666664,
20663610,native,37262625.80924855,
20664406,native,35933700.36931818,
20666750,native,45609900.876811594,
20663406,native,61168966.99,
20663632,native,50851153.904,
20664968,native,33766845.75757576,
20663404,native,51569440.77099237,
20664382,native,51182502.544117644,
20665250,native,68316819.125,
20665062,native,35367377.415,
20667125,native,116573346.42,
20664312,native,47171443.97385621,
20667875,native,55493329.42222222,
20663409,native,77236400.82954545,
20666563,native,39667980.17,
20665626,native,31545018.353448275,
20664126,native,60556327.25,
20663565,native,60392719.37179487,
20663657,native,33680972.61666667,
20664876,native,46391732.32,
20666376,native,40514811.65625,
20663568,native,21330638.766666666,
20663469,native,31298275.0390625,
20663574,native,42602613.07692308,
20663627,native,35886546.26829268,
20666422,native,4079972.75210084,
20664360,native,44227769.10752688,
20663580,native,51415717.59210526,
20663408,native,40382795.76923077,
20665157,native,47919445.722222224,
20664370,native,44892897.9537037,
20663399,native,46945803.915662654,
20663937,native,51118700.38372093,
20663422,native,39707433.86923077,
20666469,native,37514344.69565217,
20663598,native,33896345.84375,
20663376,native,36329864.238938056,
20664501,native,54031857.97169811,
20663612,native,41403718.74257426,
20663629,native,88685941.0862069,
20663577,native,65262636.68965517,
20663751,native,50460115.25510204,
20665203,native,46162047.86021505,
20665063,native,7443708.094474154,
20663405,native,35475099.47457627,
20663615,native,38882979.00862069,
20664969,native,39431486.58558559,
20663592,native,33992498.187845305,
20666751,native,59402489.434210524,
20664383,native,59305150.81818182,
20663621,native,61215011.116504855,
20663624,native,56263651.19387755,
20665251,native,64884791.57575758,
20663633,native,29104537.377142858,
20663586,native,79031108.9137931,
20663603,native,56232120.384615384,
20664407,native,35501513.29333334,
20663613,native,26643023.674876846,
20667126,native,67176198.03076923,
20664313,native,55400322.93181818,
20667876,native,49577641.989473686,
20663410,native,36019556.60150376,
20666564,native,44438900.92173913,
20665627,native,84099492.78181818,
20665158,native,62092161.75,
20663400,native,36545507.734513275,
20664877,native,40899111.48760331,
20666377,native,71401197.38356164,
20663658,native,68437667.60526316,
20663569,native,64345872.723684214,
20663581,native,37428725.99206349,
20664127,native,59060080.3877551,
20663566,native,53969918.06603774,
20664361,native,63551192.3375,
20663628,native,45433450.8,
20663630,native,42192761.752,
20663575,native,38991664.5,
20663617,native,34266962.821428575,
20663470,native,50241398.46551724,
20663616,native,61823189.90909091,
20663423,native,39549043.122137405,
20664371,native,38546962.70212766,
20663938,native,71900649.54411764,
20663752,native,40445777.4214876,
20663377,native,20563584.45210728,
20663604,native,40360472.510416664,
20663618,native,44736370.63636363,
20664970,native,78073841.58928572,
20663593,native,54891106.61728395,
20663578,native,31526823.870588236,
20664502,native,55418505.510204084,
20666470,native,49782489.51304348,
20663625,native,48379551.19387755,
20663599,native,58785711.4,
20664408,native,44774774.20408163,
20663588,native,47391818.391666666,
20665252,native,41501619.944,
20665204,native,54566764.84466019,
20665064,native,75132714.28571428,
20666752,native,66797856.2,
20664687,native,23054076.192825112,
20663622,native,58217589.13978495,
20663634,native,71146737.21311475,
20663587,native,35901187.24324324,
20666423,native,93769961.22535211,
20664384,native,80415876.60606061,
20667127,native,42083011.78571428,
20667877,native,40767669.23577236,
20663411,native,41058774.644067794,
20664314,native,37135921.442857146,
20665628,native,14153140.042492919,
20664878,native,39909176.15740741,
20665159,native,31171210.687116563,
20663659,native,51334703.70930233,
20666378,native,60171237.34210526,
20666565,native,85429053.8,
20663570,native,42468418.817391306,
20664128,native,31759255.36129032,
20663606,native,41924677.30555555,
20663605,native,49500120.15,
20666471,native,33403461.548672568,
20663939,native,50830843.77906977,
20664362,native,40755655.368,
20664781,native,41087753.375,
20663401,native,71057572.89156626,
20663582,native,38495992.766666666,
20663631,native,55462771.36263736,
20663378,native,72164873.8,
20664372,native,17282102.652027026,
20664828,native,23114736.39267016,
20665179,native,43315170.551020406,
20664971,native,35162711.703125,
20663619,native,39230616.0661157,
20664364,native,84387826.4264706,
20665253,native,42624381.10204082,
20664409,native,38867635.18103448,
20663471,native,30590618.70744681,
20663424,native,37958928.52054795,
20664218,native,61324131.166666664,
20665205,native,46877179.84375,
20663644,native,48199869.870588236,
20665065,native,61347042.21428572,
20666753,native,26424569.660818715,
20663600,native,36521211.558823526,
20663594,native,56044331.85227273,
20666424,native,59947390.64788733,
20664031,native,70437581.78333333,
20664503,native,43473125.76984127,
20663753,native,43324121.98550725,
20665226,native,55544846.088495575,
20664688,native,88583370.14,
20667128,native,23753111.384236455,
20663589,native,45108626.78333333,
20667878,native,56404143.7875,
20663635,native,51065126.97169811,
20664315,native,53244349.13978495,
20663412,native,44038828.512,
20664385,native,61833888.66,
20663660,native,28734957.14893617,
20664879,native,32827708.438356165,
20665629,native,47461443.52542373,
20666566,native,24963876.303664923,
20665160,native,45200753.73913044,
20663571,native,37027932.46428572,
20664129,native,37370303.53076923,
20664829,native,65050234.344262294,
20663607,native,33817100.96575342,
20663425,native,44001981.6125,
20664782,native,43859844.408163264,
20664363,native,21731155.28761062,
20663940,native,37451479.14285714,
20666379,native,37064854.574193545,
20666472,native,46395766.17699115,
20663379,native,42924094.8,
20663754,native,36423535.89795918,
20665206,native,39654871.11818182,
20667500,native,53067415.37209302,
20665066,native,49291634.23255814,
20665254,native,23956368.553846154,
20666754,native,27921674.083333332,
20663601,native,43052783.27551021,
20663402,native,47945390.61320755,
20665214,native,42156977.56428572,
20663472,native,47373917.051020406,
20665180,native,43467519.1,
20664365,native,43035669.867256634,
20664972,native,38559258.35294118,
20664373,native,52087503.603960395,
20664410,native,20666242.463414636,
20664593,native,62583975.011764705,
20663645,native,58764295.481481485,
20664032,native,33204928.90070922,
20667879,native,41117195.31632653,
20663595,native,44775788.371681415,
20664219,native,30431267.129213482,
20663583,native,12181668.048076924,
20663590,native,50625353.63953488,
20666425,native,1884568.2940761636,
20664689,native,39308195.96694215,
20664504,native,39623816.222222224,
20665227,native,40114918.676923074,
20663413,native,33745901.6097561,
20663636,native,27998382.21590909,
20667129,native,65447937.6626506,
20664316,native,36852701.58108108,
20664386,native,18359837.433898304,
20663661,native,42121498.93877551,
20664880,native,35804358.30496454,
20665630,native,67868752.42307693,
20663608,native,38758492.85217391,
20663572,native,42986351.982300885,
20667501,native,27146515.910256412,
20664640,native,3263130.7691803277,
20663380,native,40095882.18584071,
20664830,native,31003526.85380117,
20663941,native,64889269.05479452,
20665067,native,44970145.421052635,
20665161,native,79261758.09230769,
20666567,native,57041999.95918367,
20666380,native,47920684.13592233,
20666473,native,78562894.93442623,
20664033,native,33843551.66942149,
20664783,native,22032851.45,
20665207,native,33488514.173333332,
20663426,native,46896669.30578513,
20664130,native,54349022.4,
20663602,native,42151807.405172415,
20664973,native,40096714.75423729,
20663473,native,58813710.64102564,
20663596,native,42547043.01941747,
20667880,native,48480400.35483871,
20665255,native,76814306.55555555,
20663646,native,57652498.575,
20666755,native,62485072.04651163,
20664374,native,73070725.60606061,
20664690,native,42991389.72277228,
20663584,native,64289120.28787879,
20664804,native,34369625.67142857,
20664594,native,41932591.56097561,
20667312,native,42597609.834586464,
20665215,native,17817638.381097563,
20663755,native,64126389.755555555,
20665181,native,42867219.30827068,
20664505,native,43407786.86363637,
20666426,native,72391651.36923076,
20667130,native,5535345.589261745,
20664366,native,47864207.666666664,
20664220,native,53025468.04081633,
20663414,native,45753423.48571429,
20664411,native,60831724.90625,
20663637,native,46057853.0,
20665228,native,64031556.64705882,
20664387,native,51285979.76923077,
20664317,native,38378719.25,
20663662,native,20219952.120171674,
20664881,native,39493309.54285714,
20664974,native,69953685.0,
20665631,native,52798778.375,
20665437,native,58548192.5875,
20664131,native,26654307.0,
20664831,native,31271772.72,
20665343,native,54279142.07777778,
20665256,native,45095430.95,
20665162,native,44108812.24761905,
20663942,native,54503247.62637363,
20665068,native,39570419.16,
20667881,native,41077515.37623762,
20666568,native,49414476.74757282,
20664784,native,44570322.16037736,
20664367,native,54867255.575,
20666474,native,31721245.933333334,
20664691,native,37946184.75221239,
20664034,native,23039917.398305085,
20666381,native,46311906.6779661,
20665208,native,64188583.43209877,
20663381,native,67221771.25301205,
20664595,native,41739471.972222224,
20663474,native,52049641.838709675,
20664641,native,87647838.48275863,
20664851,native,39937764.06779661,
20663647,native,54185474.1,
20664805,native,60716962.85,
20667502,native,52392425.772357725,
20666756,native,97923489.32608695,
20663415,native,36728965.49565218,
20663756,native,30704136.683870967,
20665182,native,37464082.6,
20664734,native,62237624.625,
20663427,native,49266987.141666666,
