id,run_type,exe_time,err
20663819,native,25798324.928104576,
20663960,native,31292010.69117647,
20663843,native,27352327.776470587,
20665625,native,58612486.373333335,
20666750,native,34194813.58695652,
20666375,native,28828625.23214286,
20663562,native,23126896.925925925,
20665261,native,35659146.52173913,
20664125,native,25461111.78787879,
20664500,native,40846528.33057851,
20665273,native,47495824.77142857,
20664312,native,31754473.69620253,
20665284,native,33082380.44370861,
20663375,native,29790535.15882353,
20663995,native,36386805.876811594,
20664007,native,40725537.99186992,
20665296,native,36207484.70289855,
20663804,native,32878751.724358976,
20665252,native,30878114.944785275,
20667875,native,34820251.12413793,
20666656,native,47648154.71428572,
20663468,native,50236368.346938774,
20666937,native,61835592.85897436,
20664078,native,38911425.146153845,
20663972,native,52504033.760416664,
20666421,native,45528407.168141596,
20663773,native,33788857.602649,
20665437,native,55482425.14772727,
20663750,native,42024928.36666667,
20663937,native,40586567.384,
20665250,native,45019196.026548676,
20663796,native,47555513.44761905,
20664054,native,58461525.55294117,
20666562,native,41502918.125,
20663948,native,37687749.57971015,
20666843,native,59329372.04705882,
20665255,native,62198611.3375,
20664031,native,62033054.790123455,
20667125,native,71002071.34285714,
20663966,native,59141952.49411765,
20663807,native,53748470.84210526,
20663984,native,33151935.73125,
20666398,native,37667902.26950355,
20666468,native,47856414.15315315,
20665343,native,49144515.51351351,
20664875,native,84812184.11666666,
20663801,native,56635760.72448979,
20663375,aot,29483001.47777778,
20663820,native,42584986.24576271,
20666844,native,19276249.942857143,
20665297,native,28955894.807453416,
20664126,native,43577004.824074075,
20666376,native,36328689.18796992,
20665626,native,29187119.289156627,
20664501,native,46294410.97169811,
20666422,native,3153120.277326671,
20666657,native,33444790.4527027,
20666399,native,16046143.058419244,
20663469,native,25263836.545918368,
20664008,native,44591805.263636366,
20663996,native,9515722.164814815,
20665253,native,38505755.61111111,
20663973,native,12792878.239898989,
20664079,native,23081475.592592593,
20663797,native,25592994.757894736,
20663376,native,28736035.462427747,
20663949,native,18352949.074074075,
20666938,native,42661653.584070794,
20664055,native,17846546.575,
20663844,native,59943676.21686747,
20663805,native,47146910.27722772,
20665251,native,49004446.05,
20663802,native,22998711.83902439,
20663808,native,26095912.589473683,
20665256,native,32636387.216216218,
20665274,native,67808793.83098592,
20663938,native,62683212.78947368,
20664032,native,28193157.725714285,
20666563,native,38069846.08461539,
20666751,native,46336982.03703704,
20667876,native,41278708.458333336,
20663774,native,35622556.872340426,
20665344,native,23480620.669902913,
20665262,native,41928221.772357725,
20663751,native,39363098.3046875,
20665285,native,57861640.62352941,
20665438,native,49271149.96,
20663961,native,49937723.87735849,
20663563,native,36816604.06993007,
20664313,native,44422187.07826087,
20666469,native,31442691.58125,
20663985,native,39537164.28125,
20667126,native,60441300.64705882,
20664876,native,42154909.48,
20663967,native,58795453.3047619,
20663376,aot,29679863.39884393,
20665298,native,27331554.01785714,
20663821,native,41899712.52845529,
20666845,native,44853585.362068966,
20663564,native,35481697.35,
20664009,native,48545504.29591837,
20663806,native,16737135.440972222,
20663470,native,40147974.91056911,
20663954,native,29197971.74404762,
20664127,native,44653682.0,
20666377,native,58899368.65909091,
20663974,native,51411502.802083336,
20666400,native,46605122.882882886,
20665627,native,73345909.65714286,
20665254,native,21636537.037815128,
20664502,native,51182424.13,
20664033,native,31159976.85,
20666658,native,50795573.267326735,
20663377,native,18384575.44912281,
