id,run_type,exe_time,err
20712171,native,52778192.74545454,
20711750,native,69788453.58695652,
20713156,native,57566496.5862069,
20713625,native,40835552.94059406,
20711515,native,67282928.27586207,
20711538,native,52654740.57954545,
20712875,native,72590243.52830188,
20712125,native,36771471.109375,
20713132,native,41406950.103174604,
20712265,native,48127565.0754717,
20712312,native,52612234.58163265,
20714491,native,40470404.16923077,
20712359,native,40740504.484375,
20713109,native,38367132.18461538,
20714750,native,44594265.265486725,
20712148,native,74743708.16666667,
20712241,native,63846188.52112676,
20712968,native,55417202.41111111,
20714562,native,35968369.69871795,
20713120,native,85980970.8490566,
20714000,native,34288593.66896552,
20715125,native,42916298.53435115,
20711562,native,22560959.251937985,
20713062,native,48367259.70434783,
20712218,native,42589164.79230769,
20713015,native,6031.126089717457,
20713250,native,53287329.45,
20715875,native,99534147.39583333,
20714398,native,33505459.607954547,
20713718,native,21414518.887372013,
20712921,native,36010153.70760234,
20712991,native,36448986.847058825,
20712500,native,54506586.231481485,
20713073,native,61946464.204301074,
20711937,native,54079180.3826087,
20714375,native,19361607.54411765,
20711491,native,62170904.40625,
20711468,native,45732952.2406015,
20711843,native,40387673.278481014,
20714468,native,42332394.58278146,
20712136,native,104109520.3773585,
20711375,aot,47647617.91851852,
20713085,native,57262541.91509434,
20713812,native,52915726.39669421,
20714421,native,28959170.316017315,
20714515,native,43895814.762237765,
20712406,native,55253354.59047619,
20711375,native,46810554.46853147,
20713157,native,24220708.657276995,
20712172,native,62261660.807228915,
20711516,native,28654900.265895955,
20711751,native,63078511.854166664,
20711376,aot,57362342.94,
20713626,native,56070137.95652174,
20712266,native,38511718.12,
20712126,native,41500070.94701987,
20712407,native,58179643.333333336,
20712876,native,63147383.72448979,
20711376,native,63313354.196078435,
20713110,native,53679563.51304348,
20714376,native,102197814.23333333,
20712313,native,47517033.0610687,
20712149,native,50168567.734513275,
20714399,native,26539270.236842107,
20712360,native,54553700.733333334,
20713133,native,55985472.84166667,
20711539,native,73487987.09677419,
20713016,native,126139499.92307693,
20712969,native,86865871.39393939,
20714001,native,48410484.62711865,
20714492,native,62676699.3,
20712137,native,83124174.8,
20714751,native,37635820.90909091,
20713719,native,107044902.33333333,
20714469,native,39056453.02307692,
20714563,native,62842702.524271846,
20713813,native,77450043.45454545,
20712242,native,35663075.821428575,
20712992,native,43668524.725663714,
20714422,native,60323323.84,
20715126,native,45969904.64705882,
20712922,native,36030916.85625,
20713121,native,98254766.95081967,
20712501,native,49331303.85217391,
20712219,native,45153117.316176474,
20711492,native,10572125.072463768,
20713251,native,49386833.34146342,
20711469,native,59537346.51764706,
20711844,native,74614099.45070423,
20715876,native,65502333.510204084,
20711563,native,59889760.07619048,
20713074,native,43945998.903448276,
20711938,native,54373131.38738739,
20713086,native,41594669.812903225,
20713063,native,47536770.62162162,
20714516,native,68429159.23863636,
20712173,native,19196807.318918917,
20713158,native,74910646.04761904,
20711517,native,45001316.46666667,
20711752,native,51359332.406976745,
20712267,native,54296805.23076923,
20711377,aot,24010503.5450237,
20713122,native,33117700.16,
20712127,native,33679258.49655172,
20713720,native,51796198.5,
20713627,native,26441712.830097087,
20713017,native,70728617.23214285,
20712314,native,36188405.503703706,
20714470,native,53245247.91025641,
20712408,native,41734416.392,
