id,run_type,exe_time,err
20663503,native,43682729.125,
20663398,native,70330000.4,
20664898,native,60248210.57746479,
20663409,native,62871028.74137931,
20663479,native,81199927.09302326,
20664500,native,51687910.65263158,
20664921,native,45785694.46363636,
20666750,native,44907489.28828829,
20663403,native,53021029.84090909,
20666562,native,65011194.19672131,
20663497,native,118009996.41935484,
20663473,native,79798760.10416667,
20665625,native,75203446.54,
20667500,native,58969887.25,
20667125,native,93856874.625,
20664875,native,108610136.9,
20666468,native,57464186.7,
20663494,native,19672199.993243244,
20667312,native,48755855.02586207,
20665062,native,29498208.714285713,
20664979,native,25673504.88559322,
20663375,native,36104245.48795181,
20664125,native,30313699.106060605,
20664968,native,34496961.18857143,
20667875,native,46349170.109375,
20663400,native,45417024.676691726,
20664886,native,45095330.538461536,
20663500,native,85282718.98214285,
20663515,native,49653388.5754717,
20663415,native,45734387.225563906,
20666421,native,58684848.58490566,
20664973,native,44280785.072463766,
20664312,native,50293897.398373984,
20667218,native,54540866.39090909,
20663750,native,60803227.302083336,
20664997,native,60723202.27906977,
20665250,native,54376918.13513514,
20663399,native,57434843.567567565,
20663498,native,52566097.288135596,
20665003,native,55610100.03539823,
20663468,native,71238483.38636364,
20666000,native,69126910.10752688,
20664991,native,43868944.94871795,
20663562,native,34750692.41262136,
20665015,native,64153128.36666667,
20666375,native,41968083.64117647,
20663421,native,67707628.35555555,
20663491,native,36631582.73,
20663504,native,29341165.045751635,
20664899,native,46308908.177777775,
20663470,native,65018949.60273973,
20664922,native,52739887.14814815,
20667501,native,35836155.887931034,
20666751,native,75211801.65,
20663410,native,41787977.525,
20664887,native,42844688.06315789,
20664501,native,64510720.0625,
20664876,native,53359887.0,
20663480,native,47794509.182608694,
20666563,native,57889442.57954545,
20665626,native,40789769.61904762,
20663469,native,36798561.55238095,
20663474,native,60770908.705882356,
20664980,native,66936459.95454545,
20665009,native,62319756.23529412,
20664969,native,43076760.85840708,
20667126,native,89138871.51785715,
20663499,native,24521306.363636363,
20666469,native,47617627.477876104,
20663563,native,41757398.96703297,
20664998,native,40667805.072072074,
20664313,native,62583255.45205479,
20663404,native,46923330.276923075,
20663376,native,33915110.741935484,
20667313,native,67158576.925,
20663751,native,49567314.571428575,
20663495,native,132826780.6111111,
20665251,native,63937627.2368421,
20663501,native,42342970.03174603,
20663401,native,79374793.72727273,
20667876,native,66322079.44444445,
20663516,native,53009358.217821784,
20666422,native,4635187.961441743,
20664126,native,64777085.48235294,
20663492,native,52655150.925,
20665038,native,69391734.30882353,
20663422,native,36232091.78571428,
20664974,native,70795797.08974358,
20665063,native,8671313.957417583,
20666001,native,47472197.36792453,
20664992,native,44935013.882882886,
20666376,native,48673309.217821784,
20667219,native,67199683.86746988,
20663416,native,77434267.36842105,
20665004,native,41262909.3006993,
20665016,native,47185513.47107438,
20667502,native,58081083.50704225,
20664877,native,44304457.875,
20663471,native,28492277.272727273,
20664888,native,66496899.127272725,
20663505,native,71928350.90140845,
20664900,native,37072396.72972973,
20666564,native,48463573.58024691,
20664923,native,49448287.41052631,
20663411,native,49654172.145833336,
20666752,native,75399456.51666667,
20663481,native,48830743.505494505,
20663517,native,39548774.192771085,
20663656,native,48877595.59090909,
20663509,native,51036088.938271604,
20667877,native,44119619.8313253,
20664981,native,43095202.481132075,
20665010,native,67108269.68181818,
20667314,native,48219099.07058824,
20666470,native,51849135.105882354,
20664999,native,35854795.721804515,
20666002,native,76035913.13043478,
20667127,native,43605119.225225225,
20664975,native,33557283.49206349,
20663405,native,36505296.183823526,
20665252,native,41334505.18644068,
20665039,native,45291489.27551021,
20666423,native,70108556.59016393,
20663423,native,38873830.233333334,
20663752,native,51951478.689320385,
20663377,native,23486809.210084032,
20664970,native,97520135.44642857,
20663475,native,41680207.98,
20664314,native,39150023.27814569,
20664502,native,83671602.73684211,
20663496,native,46374482.82926829,
20665627,native,99241230.95384616,
20665064,native,89630802.07272728,
20664993,native,82432403.25454545,
20664127,native,65405212.34117647,
20666377,native,95020334.92727272,
20667220,native,57425556.63333333,
20663402,native,55561654.29245283,
20663564,native,55183765.16101695,
20665017,native,44141260.95454545,
20663417,native,45956947.672,
20665005,native,46383146.0,
20663502,native,86426123.57534246,
20663493,native,44249409.45033113,
20663472,native,41941340.54945055,
20664889,native,26595813.44,
20667503,native,45880342.322222225,
20663506,native,36926953.58490566,
20664924,native,34404707.024,
20666753,native,33973705.015873015,
20663412,native,40381193.71296296,
20663753,native,34318978.684210524,
20663482,native,43935912.25742574,
20663657,native,33066052.435714286,
20667128,native,21944823.369942196,
20666565,native,95993584.11320755,
20665040,native,37440459.72727273,
20664878,native,41286364.73571429,
20664901,native,64394573.15384615,
20667315,native,47749764.06122449,
20664976,native,50004694.82716049,
20667878,native,62454695.3125,
20663518,native,74986532.27941176,
20666471,native,32921597.403846152,
20665012,native,42079117.17045455,
20663406,native,64051285.81690141,
20665253,native,43566173.91262136,
20663565,native,48266365.56060606,
20665011,native,46578368.712,
20664994,native,42973737.88421053,
20666424,native,61124413.2125,
20664982,native,43511922.67132867,
20663510,native,66337373.208333336,
20666378,native,56396634.013333336,
20663476,native,71844764.0,
20667221,native,33121646.720588237,
20665628,native,11146587.461538462,
20666003,native,66685084.56989247,
20665000,native,74066508.83132531,
20664128,native,38338931.384,
20663609,native,68141550.4,
20664971,native,33728885.14545455,
20665065,native,71431452.95714286,
20664503,native,51303523.858490564,
20663424,native,41375015.687943265,
20665006,native,3797267.047138047,
20664315,native,66105990.46590909,
20663378,native,96481397.51515152,
20665018,native,45510435.98373984,
20667687,native,47688740.14545455,
20665812,native,49276440.84552845,
20663418,native,72875325.4691358,
20664890,native,14378178.36451613,
20667504,native,39502636.86486486,
20664925,native,44679835.23255814,
20663507,native,75155971.25396825,
20666566,native,23545446.626506023,
20663413,native,37653026.78333333,
20664879,native,35988187.1,
20664902,native,48612365.171052635,
20663483,native,35363607.551470585,
20667129,native,57059090.2,
20663477,native,40731184.03636364,
20664218,native,87325228.07042253,
20667879,native,39275357.8019802,
20666754,native,37060306.41891892,
20665041,native,38772974.91869919,
20663658,native,86881240.92857143,
20663754,native,49378997.05405405,
20665013,native,13226591.405063292,
20667316,native,26001499.85074627,
20663519,native,50022841.08163265,
20666472,native,55729552.12222222,
20664977,native,40344010.54814815,
20663407,native,57190155.638554215,
20663566,native,50042327.5625,
20663425,native,61301673.428571425,
20664972,native,56613968.615384616,
20664995,native,44242528.49137931,
20667222,native,48288214.458333336,
20665007,native,93743879.94736843,
20666425,native,2456288.7153185722,
20664983,native,80425737.63492064,
20663610,native,39206634.61666667,
20666379,native,38575402.18518519,
20665629,native,40802175.21138211,
20664316,native,39151778.30909091,
20664985,native,13644582.145945946,
20664129,native,47725384.19090909,
20663511,native,55122371.62376238,
20665254,native,36974471.356756754,
20667688,native,40561608.70476191,
20663379,native,57237974.7625,
20665066,native,64338720.95604396,
20665001,native,102882837.56896552,
20665019,native,39214847.504065044,
20663419,native,51841407.530120485,
20664504,native,64225434.85436893,
20665813,native,52147507.93913043,
20666004,native,71406858.83809523,
20666567,native,48326276.307692304,
20663508,native,48726331.1882353,
20664926,native,46496041.7107438,
20663478,native,17489992.82304527,
20666755,native,50150877.725,
20664891,native,76625908.78666666,
20667505,native,65203326.13265306,
20663414,native,51361705.1509434,
20663755,native,59778855.16438356,
20664219,native,41647766.277777776,
20667880,native,57200494.37777778,
20663659,native,54871543.44186047,
20663484,native,72097074.37179486,
20664880,native,48099732.26923077,
20665042,native,56089683.15625,
20665014,native,62129124.89156626,
20667130,native,6939582.418023887,
20667317,native,45332549.75925926,
20666473,native,73597557.34920634,
20664996,native,32234767.372881357,
20663567,native,45102346.861386135,
20664984,native,47744760.1375,
20663611,native,56624379.76470588,
20663408,native,44946349.575,
20663426,native,66659805.70666666,
20666515,native,6175915.59386503,
20666426,native,60502694.03947368,
20663520,native,39035290.86708861,
20665630,native,65969183.57746479,
20665002,native,57196277.82539683,
20664505,native,35769433.240963854,
20666380,native,44510173.96521739,
20664978,native,50881848.76153846,
20665008,native,18825650.03548387,
20663512,native,58143962.69411765,
20664903,native,43785687.467980295,
20664986,native,95945370.3,
20664130,native,56975376.52688172,
20665067,native,47468239.260416664,
20667223,native,86039056.02857143,
20663420,native,42939786.90990991,
20666005,native,72504369.93478261,
20665255,native,110774415.64705883,
20664317,native,50749896.20769231,
20667689,native,44332946.72857143,
20665020,native,21400524.996376812,
20665814,native,40026287.86666667,
20663380,native,60977804.80555555,
20667781,native,49190738.069767445,
20666568,native,73211772.05479452,
20664171,native,26868446.655172415,
20664892,native,61735404.77941176,
20664927,native,35979618.89333333,
20666538,native,15096080.994535519,
20667506,native,86601414.63793103,
20666756,native,75707618.2739726,
20664881,native,45617641.35483871,
20663514,native,53035350.981818184,
20663485,native,62844398.28947368,
20663756,native,37204197.006622516,
20667881,native,44370660.8515625,
20663427,native,42223741.755555555,
20663660,native,33152763.780346822,
20663612,native,44402222.61165048,
20666474,native,31044900.34502924,
20665043,native,44289855.85714286,
20666526,native,52408574.44660194,
20663568,native,22606297.18067227,
20664220,native,63978321.530612245,
20664406,native,36204672.071428575,
20663513,native,42766814.11851852,
20664987,native,41795652.15384615,
20666516,native,91700304.50943395,
20667318,native,64914017.92,
20667131,native,47225284.97101449,
20666381,native,39615795.23966942,
20665631,native,55293525.97849462,
20663521,native,70780070.11764705,
20666427,native,48870407.84347826,
20664506,native,33051981.92156863,
20667224,native,83432455.09302326,
20665256,native,38321545.87209302,
20665068,native,38340678.152,
20664453,native,46784292.913978495,
20664131,native,52242827.473684214,
20667690,native,7084301.321428572,
20667593,native,18528973.01785714,
20666187,native,111504762.22413793,
20663381,native,67683742.81132075,
20666093,native,62038507.396039605,
20664904,native,48196864.58646616,
20665815,native,29543162.398773007,
20665021,native,91619768.95652173,
20666006,native,3631427.1860189573,
20663632,native,57901402.13559322,
20664318,native,52436983.518181816,
20666569,native,81798262.47169812,
20667782,native,29616984.404371586,
20664172,native,77797797.98333333,
20663486,native,20231167.685714286,
20667828,native,44107176.35227273,
20666757,native,38192681.51239669,
20664928,native,69234579.67142858,
20664893,native,23115704.625925925,
20667507,native,41484663.16528925,
20664882,native,70895884.64788732,
20663428,native,47848799.96703297,
20666539,native,55489638.77142857,
20663661,native,50651952.541666664,
20663613,native,28612903.628205128,
20664221,native,47922719.604395606,
20663757,native,45902093.38016529,
20667882,native,44427010.16260163,
20666517,native,62462770.10606061,
20665044,native,43607084.1300813,
20663569,native,82454471.33846153,
20664148,native,55053836.24175824,
20663522,native,73110171.96428572,
20666527,native,94153130.6724138,
20667319,native,54523689.84883721,
20664988,native,76735677.2,
20664507,native,56332965.62352941,
20665069,native,23987689.13131313,
20667225,native,64624573.96,
20665632,native,3930257.5637290603,
20664132,native,48133191.071428575,
20666475,native,58573184.5,
20667132,native,125499963.625,
20665257,native,38912423.57446808,
20664407,native,40337588.01204819,
20663382,native,24865453.994475137,
20666428,native,80973748.38571429,
20667594,native,89276896.81132075,
20664454,native,52224947.43,
20667691,native,102349055.05882353,
20666382,native,59945760.53333333,
20666094,native,80656758.6,
20666570,native,35912969.333333336,
20665022,native,47969391.54545455,
20663633,native,36017443.15231788,
20665816,native,86205277.72058824,
20667783,native,77067387.8095238,
20666188,native,80668265.30681819,
20664319,native,91417775.17460318,
20664905,native,84025991.93421052,
20666758,native,47758105.333333336,
20664883,native,60725534.54098361,
20664894,native,68672588.81967214,
20666007,native,116247768.51724137,
20667508,native,59499632.91780822,
20664929,native,41285171.312,
20667829,native,35568230.47953217,
20663662,native,20535247.674208146,
20664222,native,43812231.610526316,
20663758,native,39005448.4,
20663570,native,39960708.68181818,
20664173,native,55962030.84,
20665045,native,32431366.469565216,
20663429,native,52580316.83809524,
20667883,native,31205614.71612903,
20663614,native,93389675.83018868,
20663487,native,76846748.79120879,
20666540,native,51443944.06086957,
